Configuration,T_p,T_u,T_s,AcceptanceRate,PrivacyPass,UtilityPass,SpeakerPass,n_chunks
Rule-SS,0.65,0.60,0.50,0.0723,0.9938,0.1160,0.6735,1121
Rule-SS,0.65,0.65,0.50,0.0723,0.9938,0.1160,0.6735,1121
Rule-SS,0.65,0.70,0.50,0.0473,0.9938,0.0847,0.6735,1121
Rule-SS,0.65,0.75,0.50,0.0473,0.9938,0.0847,0.6735,1121
Rule-SS,0.65,0.80,0.50,0.0473,0.9938,0.0847,0.6735,1121
Rule-SS,0.70,0.50,0.50,0.0821,0.9893,0.1365,0.6735,1121
Rule-SS,0.70,0.55,0.50,0.0714,0.9893,0.1160,0.6735,1121
Rule-SS,0.70,0.60,0.50,0.0714,0.9893,0.1160,0.6735,1121
Rule-SS,0.70,0.65,0.50,0.0714,0.9893,0.1160,0.6735,1121
Rule-SS,0.70,0.70,0.50,0.0473,0.9893,0.0847,0.6735,1121
Rule-SS,0.70,0.75,0.50,0.0473,0.9893,0.0847,0.6735,1121
Rule-SS,0.70,0.80,0.50,0.0473,0.9893,0.0847,0.6735,1121
