configuration,source_id,chunk_id,speech_ratio,vad_confidence,wer,cer,content_privacy,speaker_privacy,privacy_score,tc3,ta1,preserve_new,trials_used,used_ss,recipe
LLM-NoMem-SS,,9d5f0514-5cae-5a51-93d2-9e3d54e14910_1,0.8955,0.988,0.25,0.0958904109589041,0.18835616438356165,0.27125917985835457,0.21322706902599953,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,9d5f0514-5cae-5a51-93d2-9e3d54e14910_2,0.615,0.9385,0.0,0.0,0.0,0.023253010012418973,0.006975903003725692,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,d50b2b0f-a98e-545b-b67e-c26006bad8eb_0,0.8945,0.95015,0.7272727272727273,0.3888888888888889,0.591919191919192,0.327915706274976,0.5127181462259272,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,d50b2b0f-a98e-545b-b67e-c26006bad8eb_1,0.9195,0.9532,1.0,0.7419354838709677,0.896774193548387,0.6464045938544567,0.821663313640208,0.3333333333333333,0.0,0.16666666666666666,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,d50b2b0f-a98e-545b-b67e-c26006bad8eb_2,0.303,0.8962,1.0,0.8,0.92,0.5624378642692569,0.8127313592807771,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,c2d55fff-a606-5b5f-ac7b-60fa33d6c217_0,0.9355,0.9865,1.0,0.6666666666666666,0.8666666666666667,0.4483054274312127,0.7411582948960305,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,c2d55fff-a606-5b5f-ac7b-60fa33d6c217_1,0.9175,0.9374666666666666,0.9,0.6346153846153846,0.7938461538461539,0.23533252934859117,0.6262920664968851,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,c2d55fff-a606-5b5f-ac7b-60fa33d6c217_2,0.383,0.9555,0.0,0.0,0.0,0.1266672105118869,0.038000163153566066,0.6666666666666666,1.0,0.8333333333333333,4,True,RECIPE_SOURCE_SEPARATION
LLM-NoMem-SS,,37b3417f-8444-5fe3-afcc-d8dbb3e07946_0,0.831,0.954,0.3333333333333333,0.2,0.28,0.20733134228565975,0.2581994026856979,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,37b3417f-8444-5fe3-afcc-d8dbb3e07946_1,0.9105,0.92675,0.38461538461538464,0.1875,0.3057692307692308,0.22063495616714424,0.2802289483886048,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,37b3417f-8444-5fe3-afcc-d8dbb3e07946_2,0.359,0.9089,0.25,0.1724137931034483,0.2189655172413793,0.09317259471668438,0.18122764048397083,1.0,1.0,1.0,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,1df4da4b-194f-575c-8417-560c77c798e5_0,0.8625,0.89905,0.5384615384615384,0.38235294117647056,0.4760180995475113,0.13003534030001362,0.3722232717732619,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,1df4da4b-194f-575c-8417-560c77c798e5_1,0.8545,0.9431499999999999,0.46153846153846156,0.359375,0.420673076923077,0.4032349481923517,0.4154416383038594,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
